Orden,Timeline,Sección,Ref. shot,Freepik ID,CapCut Motion,"URL de descarga (firmada, ~1h)"
128,(06:44.20-06:47.80),MARCA 5 - ISABEL,network_converge,4721014,PAN UP · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
129,(06:47.80-06:51.40),MARCA 5 - ISABEL,network_converge,4721014,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
130,(06:51.40-06:55.00),MARCA 5 - ISABEL,network_converge,4721014,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
131,(06:55.00-06:57.90),MARCA 5 - ISABEL,network_converge,4721014,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
132,(06:57.90-07:01.50),MARCA 5 - ISABEL,magnifier_doc,8534240,STATIC,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
133,(07:01.50-07:04.00),MARCA 5 - ISABEL,magnifier_doc,8534240,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
134,(07:04.00-07:07.60),MARCA 5 - ISABEL,reading_glass_files,2082900,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
135,(07:07.60-07:11.20),MARCA 5 - ISABEL,reading_glass_files,2082900,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
136,(07:11.20-07:13.70),MARCA 5 - ISABEL,reading_glass_files,2082900,PAN UP · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
137,(07:13.70-07:17.30),MARCA 5 - ISABEL,warning_icon,5695539,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/5fd990c2-531f-5f08-b745-c06d60500e47/horizontal/downloads/original.mp4?filename=0_Icon_Alert_4096x2304.mp4&user_id=102901249&token=exp=1785670268~id=102901249~hmac=455b6c90a8118307b0e3eb10731432bd03a07546cdc59860335c61768aaf3f5a
138,(07:17.30-07:18.70),MARCA 5 - ISABEL,warning_icon,5695539,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/5fd990c2-531f-5f08-b745-c06d60500e47/horizontal/downloads/original.mp4?filename=0_Icon_Alert_4096x2304.mp4&user_id=102901249&token=exp=1785670268~id=102901249~hmac=455b6c90a8118307b0e3eb10731432bd03a07546cdc59860335c61768aaf3f5a
139,(07:18.70-07:20.80),MARCA 5 - ISABEL,two_cans_compare,3680436,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/608407a8-ba63-547c-aaf0-fd4ba1e23dae/horizontal/downloads/original.mp4?filename=0_Canned_Food_Tin_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670270~id=102901249~hmac=cd955bc6340c5194a086c346fa2c53582a0ba26b254cd5b419d8609880140d2c
140,(07:20.80-07:24.40),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,STATIC,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
141,(07:24.40-07:28.00),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
142,(07:28.00-07:31.60),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
143,(07:31.60-07:35.20),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
144,(07:35.20-07:38.80),MARCA 5 - ISABEL,world_map_network,1948107,PAN UP · 4s,https://videocdn.cdnpk.net/videos/c42d91bb-6285-421a-af2c-532340c4f03d/horizontal/downloads/4k.mp4?filename=5436703_Coll_wavebreak_Blue_3840x2160.mp4&user_id=102901249&token=exp=1785670483~id=102901249~hmac=5ff5758beff43317e3830333dd375bc460c5645ded13a5466b3de6719a6256f2
145,(07:38.80-07:41.70),MARCA 5 - ISABEL,world_map_network,1948107,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/c42d91bb-6285-421a-af2c-532340c4f03d/horizontal/downloads/4k.mp4?filename=5436703_Coll_wavebreak_Blue_3840x2160.mp4&user_id=102901249&token=exp=1785670483~id=102901249~hmac=5ff5758beff43317e3830333dd375bc460c5645ded13a5466b3de6719a6256f2
146,(07:41.70-07:45.30),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
147,(07:45.30-07:48.90),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
148,(07:48.90-07:52.50),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,STATIC,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
149,(07:52.50-07:55.00),MARCA 5 - ISABEL,cans_colorful_shelf,6843740,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
150,(07:55.00-07:58.60),MARCA 5 - ISABEL,network_converge,4721014,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
151,(07:58.60-08:02.20),MARCA 5 - ISABEL,network_converge,4721014,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
152,(08:02.20-08:05.80),MARCA 5 - ISABEL,network_converge,4721014,PAN UP · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
153,(08:05.80-08:09.40),MARCA 5 - ISABEL,magnifier_doc,8534240,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
154,(08:09.40-08:13.00),MARCA 5 - ISABEL,magnifier_doc,8534240,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
155,(08:13.00-08:15.10),MARCA 5 - ISABEL,magnifier_doc,8534240,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
156,(08:15.10-08:18.70),MARCA 5 - ISABEL,reading_glass_files,2082900,STATIC,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
157,(08:18.70-08:22.30),MARCA 5 - ISABEL,reading_glass_files,2082900,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
158,(08:22.30-08:25.90),MARCA 5 - ISABEL,reading_glass_files,2082900,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
159,(08:25.90-08:29.50),MARCA 5 - ISABEL,reading_glass_files,2082900,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
160,(08:29.50-08:32.00),MARCA 5 - ISABEL,reading_glass_files,2082900,PAN UP · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
161,(08:32.00-08:35.60),CTA SUTIL (~35%),share_button_glow,7196718,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/8a2aecd5-ba41-520a-9b3d-4ddc87719f2d/horizontal/downloads/1080p.mp4?filename=0_Share_Button_Button_1920x1080.mp4&user_id=102901249&token=exp=1785670271~id=102901249~hmac=0a691051b52b96b74649fabe2537021e1cf1cb1672c1fd6a1a0d5ea01f0b31d2
162,(08:35.60-08:39.90),CTA SUTIL (~35%),share_button_glow,7196718,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/8a2aecd5-ba41-520a-9b3d-4ddc87719f2d/horizontal/downloads/1080p.mp4?filename=0_Share_Button_Button_1920x1080.mp4&user_id=102901249&token=exp=1785670271~id=102901249~hmac=0a691051b52b96b74649fabe2537021e1cf1cb1672c1fd6a1a0d5ea01f0b31d2
163,(08:39.90-08:43.50),CTA SUTIL (~35%),finger_share_phone,4838647,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/d6e393fe-52fe-516d-8689-678b5e0e76d1/horizontal/downloads/4k.mp4?filename=0_Mobile_Phone_Smartphone_3840x2160.mp4&user_id=102901249&token=exp=1785670272~id=102901249~hmac=77614dcb3540fb08cfd94d9b995ba020aeee0d604c20beb76fbfbd8ba8f5b8ac
164,(08:43.50-08:46.70),CTA SUTIL (~35%),finger_share_phone,4838647,STATIC,https://videocdn.cdnpk.net/videos/d6e393fe-52fe-516d-8689-678b5e0e76d1/horizontal/downloads/4k.mp4?filename=0_Mobile_Phone_Smartphone_3840x2160.mp4&user_id=102901249&token=exp=1785670272~id=102901249~hmac=77614dcb3540fb08cfd94d9b995ba020aeee0d604c20beb76fbfbd8ba8f5b8ac
165,(08:46.70-08:48.10),CTA SUTIL (~35%),youtube_share_anim,7055249,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/446e6af4-875c-54ff-90e6-b0468ed4817c/horizontal/downloads/1080p.mp4?filename=0_Internet_Video_1920x1080.mp4&user_id=102901249&token=exp=1785670426~id=102901249~hmac=eb171a1e8a19905e5d8bcf35b9b0971ead1848f258a2ea5f9ba0d9841fde6283
166,(08:48.10-08:48.80),MARCA 4 - CARREFOUR,aisle_dolly,7917819,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/2ebb5ed4-724f-551f-a446-03916f39f076/horizontal/downloads/original.mp4?filename=0_Grocery_Store_Supermarket_3840x2160.mp4&user_id=102901249&token=exp=1785670208~id=102901249~hmac=9ba58e1316bf5c6f29d78d116ebcd65729dd85052838005868b1838e04de501f
167,(08:48.80-08:49.90),MARCA 4 - CARREFOUR,generic_shelf,6181813,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/5bc6e637-d5df-5329-939b-70b5273de9fa/horizontal/downloads/1080p.mp4?filename=0_Grocery_Store_1920x1080.mp4&user_id=102901249&token=exp=1785670198~id=102901249~hmac=57a41e07d1fed1102cfb7808b4cff8803be176ae5cab9a76882b5850359a59a4
168,(08:49.90-08:53.50),MARCA 4 - CARREFOUR,sunflower_oil,1474089,PAN UP · 4s,https://videocdn.cdnpk.net/videos/8a4e845f-448f-47e1-9205-597e2cace83b/horizontal/downloads/1080p.mp4?filename=4781140_Oil_Sunflower_1920x1080.mp4&user_id=102901249&token=exp=1785670427~id=102901249~hmac=ada415ff89b04f17d3611d0a4a6b77b29e9b85f8cb98805e869dbed76a237c2a
169,(08:53.50-08:57.10),MARCA 4 - CARREFOUR,sunflower_oil,1474089,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/8a4e845f-448f-47e1-9205-597e2cace83b/horizontal/downloads/1080p.mp4?filename=4781140_Oil_Sunflower_1920x1080.mp4&user_id=102901249&token=exp=1785670427~id=102901249~hmac=ada415ff89b04f17d3611d0a4a6b77b29e9b85f8cb98805e869dbed76a237c2a
170,(08:57.10-09:00.70),MARCA 4 - CARREFOUR,sunflower_oil,1474089,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/8a4e845f-448f-47e1-9205-597e2cace83b/horizontal/downloads/1080p.mp4?filename=4781140_Oil_Sunflower_1920x1080.mp4&user_id=102901249&token=exp=1785670427~id=102901249~hmac=ada415ff89b04f17d3611d0a4a6b77b29e9b85f8cb98805e869dbed76a237c2a
171,(09:00.70-09:02.10),MARCA 4 - CARREFOUR,sunflower_oil,1474089,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/8a4e845f-448f-47e1-9205-597e2cace83b/horizontal/downloads/1080p.mp4?filename=4781140_Oil_Sunflower_1920x1080.mp4&user_id=102901249&token=exp=1785670427~id=102901249~hmac=ada415ff89b04f17d3611d0a4a6b77b29e9b85f8cb98805e869dbed76a237c2a
172,(09:02.10-09:03.50),MARCA 4 - CARREFOUR,reading_glass_files,2082900,STATIC,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
173,(09:03.50-09:07.10),MARCA 4 - CARREFOUR,kitchen_scale,5302538,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/19c6a4a7-6a45-5e18-a309-b13ab03a36b3/horizontal/downloads/4k.mp4?filename=0_Scale_Baking_3840x2160.mp4&user_id=102901249&token=exp=1785670429~id=102901249~hmac=c43b157dd28631220da211a2c3caba70bd55a89d963a24ee16f9d9f0c748baed
174,(09:07.10-09:11.70),MARCA 4 - CARREFOUR,kitchen_scale,5302538,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/19c6a4a7-6a45-5e18-a309-b13ab03a36b3/horizontal/downloads/4k.mp4?filename=0_Scale_Baking_3840x2160.mp4&user_id=102901249&token=exp=1785670429~id=102901249~hmac=c43b157dd28631220da211a2c3caba70bd55a89d963a24ee16f9d9f0c748baed
175,(09:11.70-09:15.30),MARCA 4 - CARREFOUR,salt_pouring,3479267,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/94150c1a-7913-5c6d-abb7-e5cb22d339b2/horizontal/downloads/original.mp4?filename=0_Salt_Shaker_Salt_1920x1080.mp4&user_id=102901249&token=exp=1785670430~id=102901249~hmac=d838281778b6eac83fe7c864fe7dcabe9881a69b0ed669a6d0be11f964fe57dd
176,(09:15.30-09:18.90),MARCA 4 - CARREFOUR,salt_pouring,3479267,PAN UP · 4s,https://videocdn.cdnpk.net/videos/94150c1a-7913-5c6d-abb7-e5cb22d339b2/horizontal/downloads/original.mp4?filename=0_Salt_Shaker_Salt_1920x1080.mp4&user_id=102901249&token=exp=1785670430~id=102901249~hmac=d838281778b6eac83fe7c864fe7dcabe9881a69b0ed669a6d0be11f964fe57dd
177,(09:18.90-09:22.50),MARCA 4 - CARREFOUR,salt_pouring,3479267,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/94150c1a-7913-5c6d-abb7-e5cb22d339b2/horizontal/downloads/original.mp4?filename=0_Salt_Shaker_Salt_1920x1080.mp4&user_id=102901249&token=exp=1785670430~id=102901249~hmac=d838281778b6eac83fe7c864fe7dcabe9881a69b0ed669a6d0be11f964fe57dd
178,(09:22.50-09:26.10),MARCA 4 - CARREFOUR,salt_pouring,3479267,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/94150c1a-7913-5c6d-abb7-e5cb22d339b2/horizontal/downloads/original.mp4?filename=0_Salt_Shaker_Salt_1920x1080.mp4&user_id=102901249&token=exp=1785670430~id=102901249~hmac=d838281778b6eac83fe7c864fe7dcabe9881a69b0ed669a6d0be11f964fe57dd
179,(09:26.10-09:29.70),MARCA 4 - CARREFOUR,salt_pouring,3479267,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/94150c1a-7913-5c6d-abb7-e5cb22d339b2/horizontal/downloads/original.mp4?filename=0_Salt_Shaker_Salt_1920x1080.mp4&user_id=102901249&token=exp=1785670430~id=102901249~hmac=d838281778b6eac83fe7c864fe7dcabe9881a69b0ed669a6d0be11f964fe57dd
180,(09:29.70-09:33.60),MARCA 4 - CARREFOUR,salt_pouring,3479267,STATIC,https://videocdn.cdnpk.net/videos/94150c1a-7913-5c6d-abb7-e5cb22d339b2/horizontal/downloads/original.mp4?filename=0_Salt_Shaker_Salt_1920x1080.mp4&user_id=102901249&token=exp=1785670430~id=102901249~hmac=d838281778b6eac83fe7c864fe7dcabe9881a69b0ed669a6d0be11f964fe57dd
181,(09:33.60-09:37.20),MARCA 4 - CARREFOUR,kitchen_scale,5302538,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/19c6a4a7-6a45-5e18-a309-b13ab03a36b3/horizontal/downloads/4k.mp4?filename=0_Scale_Baking_3840x2160.mp4&user_id=102901249&token=exp=1785670429~id=102901249~hmac=c43b157dd28631220da211a2c3caba70bd55a89d963a24ee16f9d9f0c748baed
182,(09:37.20-09:40.80),MARCA 4 - CARREFOUR,kitchen_scale,5302538,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/19c6a4a7-6a45-5e18-a309-b13ab03a36b3/horizontal/downloads/4k.mp4?filename=0_Scale_Baking_3840x2160.mp4&user_id=102901249&token=exp=1785670429~id=102901249~hmac=c43b157dd28631220da211a2c3caba70bd55a89d963a24ee16f9d9f0c748baed
183,(09:40.80-09:44.40),MARCA 4 - CARREFOUR,kitchen_scale,5302538,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/19c6a4a7-6a45-5e18-a309-b13ab03a36b3/horizontal/downloads/4k.mp4?filename=0_Scale_Baking_3840x2160.mp4&user_id=102901249&token=exp=1785670429~id=102901249~hmac=c43b157dd28631220da211a2c3caba70bd55a89d963a24ee16f9d9f0c748baed
184,(09:44.40-09:48.70),MARCA 4 - CARREFOUR,kitchen_scale,5302538,PAN UP · 4s,https://videocdn.cdnpk.net/videos/19c6a4a7-6a45-5e18-a309-b13ab03a36b3/horizontal/downloads/4k.mp4?filename=0_Scale_Baking_3840x2160.mp4&user_id=102901249&token=exp=1785670429~id=102901249~hmac=c43b157dd28631220da211a2c3caba70bd55a89d963a24ee16f9d9f0c748baed
185,(09:48.70-09:52.30),MARCA 4 - CARREFOUR,reading_label_store,4972749,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/196045c2-f82e-5283-93df-82796225a7e5/horizontal/downloads/4k.mp4?filename=0_Grocery_Store_Shopping_3840x2160.mp4&user_id=102901249&token=exp=1785670472~id=102901249~hmac=651631a77396dd32c3e88f7f78dd94e10b33e4c1f16f02fa2c5bedc69aabeb5c
186,(09:52.30-09:55.90),MARCA 4 - CARREFOUR,reading_label_store,4972749,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/196045c2-f82e-5283-93df-82796225a7e5/horizontal/downloads/4k.mp4?filename=0_Grocery_Store_Shopping_3840x2160.mp4&user_id=102901249&token=exp=1785670472~id=102901249~hmac=651631a77396dd32c3e88f7f78dd94e10b33e4c1f16f02fa2c5bedc69aabeb5c
187,(09:55.90-09:59.50),MARCA 4 - CARREFOUR,reading_label_store,4972749,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/196045c2-f82e-5283-93df-82796225a7e5/horizontal/downloads/4k.mp4?filename=0_Grocery_Store_Shopping_3840x2160.mp4&user_id=102901249&token=exp=1785670472~id=102901249~hmac=651631a77396dd32c3e88f7f78dd94e10b33e4c1f16f02fa2c5bedc69aabeb5c
188,(09:59.50-10:02.00),MARCA 4 - CARREFOUR,reading_label_store,4972749,STATIC,https://videocdn.cdnpk.net/videos/196045c2-f82e-5283-93df-82796225a7e5/horizontal/downloads/4k.mp4?filename=0_Grocery_Store_Shopping_3840x2160.mp4&user_id=102901249&token=exp=1785670472~id=102901249~hmac=651631a77396dd32c3e88f7f78dd94e10b33e4c1f16f02fa2c5bedc69aabeb5c
189,(10:02.00-10:05.20),MARCA 4 - CARREFOUR,aisle_dolly,7917819,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/2ebb5ed4-724f-551f-a446-03916f39f076/horizontal/downloads/original.mp4?filename=0_Grocery_Store_Supermarket_3840x2160.mp4&user_id=102901249&token=exp=1785670208~id=102901249~hmac=9ba58e1316bf5c6f29d78d116ebcd65729dd85052838005868b1838e04de501f
190,(10:05.20-10:08.80),MARCA 4 - CARREFOUR,generic_shelf,6181813,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/5bc6e637-d5df-5329-939b-70b5273de9fa/horizontal/downloads/1080p.mp4?filename=0_Grocery_Store_1920x1080.mp4&user_id=102901249&token=exp=1785670198~id=102901249~hmac=57a41e07d1fed1102cfb7808b4cff8803be176ae5cab9a76882b5850359a59a4
191,(10:08.80-10:12.40),MARCA 4 - CARREFOUR,generic_shelf,6181813,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/5bc6e637-d5df-5329-939b-70b5273de9fa/horizontal/downloads/1080p.mp4?filename=0_Grocery_Store_1920x1080.mp4&user_id=102901249&token=exp=1785670198~id=102901249~hmac=57a41e07d1fed1102cfb7808b4cff8803be176ae5cab9a76882b5850359a59a4
